Person 1,Person 2,Person 3,Subject,Endorsement,Ep Title,Description,Pod Title,Participant,Chip,Link,Length (minutes),Comment,Traditional News Broadcast?,Not on YouTube?,Delete?
Nik,Amber,Owen Fick,Vivek Ramaswamy,T,"Vivek Ramaswamy and Eric Trump React LIVE To Trump SURGING in Polls, Kamala COLLAPSE, Joe Calling America GARBAGE","White House EXPOSED for editing transcript calling Trump supporters Garbage, Trump headlines Tucker event, tells hilarious stories past 1am and Vivek Ramaswamy and Eric Trump join the show.",The Benny Show,,"Vivek & Eric Trump React LIVE To Trump SURGE in Polls, Kamala COLLAPSE, Joe Calling America GARBAGE - YouTube",https://www.youtube.com/watch?v=iR8UqFPyQyc,108,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Thomas Seeger,Thomas Leonard,Amber,Vivek Ramaswamy,T,"Political Realignment Favors Trump, and Truth About Democratic Party Machine, with Batya Ungar-Sargon and Vivek Ramaswamy | Ep. 896","Megyn Kelly is joined by Batya Ungar Sargon, author of ""Second Class,"" to talk about the political realignment around class happening in America today, the Teamsters president signaling support from his union for Trump, the UAW inflating its ranks with elitists, VP Kamala Harris having the campaign of Oprah and Dick Cheney, Sen. John Fetterman's evolution to pro-Israel and being honest about Trump, how Gov. Tim Walz is the elite's version of a politician who appeals to the working class, Oprah no longer being relevant and able to meet the current media moment, how she's the ""leaf blower of television hosts"" who turns off swing voters every time she yells ""Kamala Harris,"" MSNBC's Stephanie Ruhle not wanting any Harris interviews because she hates Trump, how illegal immigration helps the elites, and more. Then Vivek Ramaswamy, author of ""Truths,"" joins to discuss why voters shouldn't trust the polls right now, the media bias and culture of fear around Trump, an apparent lack of post-debate polling bump for Harris, an embarrassing interview with First Lady Jill Biden by NBC's Peter Alexander, how truth is no longer a priority for the corporate media, why Harris and Biden are just cogs in the Democratic Party machine, the need to be honest about radical transgender ideology, finding common ground with those who aren't bad faith actors, the value of debate and having nuanced conversations, and more.Ungar-Sargon- https://www.amazon.com/Second-Class-Betrayed-Americas-Working/dp/1641773618Ramaswamy- https://www.amazon.com/Truths-Future-America-Vivek-Ramaswamy/dp/1668078430Lumen: Visit https://lumen.me/MEGYN to get 15% off your Lumen Grand Canyon University: https://GCU.edu Blackout Coffee: https://BlackoutCoffee.com/MK or use the code MK for 20% off your first order Birch Gold: Text MEGYN to 989898 and get your free info kit on gold",The Megyn Kelly Show,,"Political Realignment Favors Trump, Truth About Dem Machine, w/ Batya Ungar-Sargon & Vivek Ramaswamy - YouTube",https://www.youtube.com/watch?v=1J0pp3AxXI8,50,Vivek on for second half,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
Thomas Seeger,Malia,Amber*,Vivek Ramaswamy,T,Vivek Ramaswamy: Is There a Libertarian-Nationalist Alliance?,"Is the future of the GOP more libertarian, nationalist, or, somehow, both?

Joining us today is Vivek Ramaswamy, entrepreneur, author, and former presidential candidate. He's been making a hard pitch for what he's called a ""libertarian-nationalist alliance"" for the past several months. He was at the 2024 Libertarian National Convention where he tried to convince libertarians to vote Republican. Reason's Zach Weissmueller also saw Ramaswamy at the Republican National Convention, where he was trying to convince MAGA supporters to be more libertarian. Reason's Stephanie Slade saw him make his case for ""national libertarianism"" at the National Conservatism Conference. That event was also attended by vice presidential candidate J.D. Vance, who has a different vision for the conservative movement. Those dueling visions are the subject of today's episode.

Note: This episode is plagued by technical issues due to a software malfunction. With the exception of an approximately nine-minute section (which is marked in the episode), the full conversation is intact.",Reason Podcasts,,"Will MAGA become libertarian, nationalist, or both? | Vivek Ramaswamy | Just Asking Questions, Ep 34",https://youtu.be/NonvV2Hc7h0?feature=shared,33,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
Lena,Michael,Owen Fick,Vivek Ramaswamy,T,"Vivek Ramaswamy on Trump vs Harris, Inflation, Bitcoin","Vivek Ramaswamy joins Market Overtime following the release of his latest book, “Truths: The Future of America First,” which debuted in September. Vivek and Oliver Renick focus on the economic implications at stake in the 2024 presidential election. From candidate Kamala Harris’ proposed unrealized gains tax to former President Donald Trump’s focus on crypto, don’t miss this in-depth discussion ahead of the election.
======== Schwab Network ========
Empowering every investor and trader, every market day.
Subscribe to the Market Minute newsletter - https://schwabnetwork.com/subscribe
Download the iOS app - https://apps.apple.com/us/app/schwab-network/id1460719185
Download the Amazon Fire Tv App - https://www.amazon.com/TD-Ameritrade-Network/dp/B07KRD76C7
Watch on Sling - https://watch.sling.com/1/asset/191928615bd8d47686f94682aefaa007/watch
Watch on Vizio - https://www.vizio.com/en/watchfreeplus-explore
Watch on DistroTV - https://www.distro.tv/live/schwab-network/
Follow us on X – https://twitter.com/schwabnetwork
Follow us on Facebook – https://www.facebook.com/schwabnetwork
Follow us on LinkedIn - https://www.linkedin.com/company/schwab-network/
About Schwab Network - https://schwabnetwork.com/about",Schwab Network,,"Vivek Ramaswamy on Trump vs Harris, Inflation, Bitcoin",https://youtu.be/9mKDZt79_7s?feature=shared,28,,FALSE,FALSE,FALSE
Thomas Seeger,Malia,Thomas Leonard,Vivek Ramaswamy,T,Reining in the Administrative State: A Conversation with Vivek Ramaswamy,"There’s a quietly brewing rift on the right between those who want to rein in administrative power and those who hope to wield it for conservative ends. Former presidential candidate and business entrepreneur Vivek Ramaswamy favors the former path and has delivered detailed plans for a radical rollback of regulatory power and shutting down several federal agencies. With the Supreme Court’s recent blows to Chevron deference and its embrace of the major questions doctrine, he sees a “once-in-a-generation opportunity” to rein in the permanent bureaucracy. Ramaswamy argues that it is not controversial to hold that the people we elect to run the government should actually run the government.Is the United States consigned to rule by an army of unelected and unaccountable federal bureaucrats? Are there any realistic paths to diminish the power of federal government bureaucracies?Join Ramaswamy and Cato’s Gene Healy for a discussion about the prospects for transforming how the federal government rules its citizens and businesses. Hosted on Acast. See acast.com/privacy for more information.",Cato Event Podcast,,Reining in the Administrative State: A Conversation with Vivek Ramaswamy - YouTube,https://www.youtube.com/watch?v=Tmemsb_h3q8,62,,FALSE,FALSE,FALSE
Nik,Rosie,Connor Swenson,RFK,T,484. The Great Partisan Shift | Robert F. Kennedy Jr.,"Dr. Jordan B. Peterson and Robert F. Kennedy Jr. discuss the development of Donald Trump’s political team, how the team plans to tackle foreign affairs and the ongoing health crisis, Kamala Harris’ inability to unify the country (let alone police the broader world), and the detrimental metamorphosis of the Democratic Party which has left it scrambling and scheming for a shot at the presidency, despite the clear will of the people. This episode was filmed on September 18th, 2024 Robert F. Kennedy Jr. is a writer, attorney, activist, and politician who has had a career-spanning focus on clean water, environmental, and public health issues. RFK Jr. is the founder of the WaterKeeper Alliance — the world’s largest clean water advocacy group — and has served as its longtime chairman and attorney. In this role, he spearheaded the New York City Watershed Agreement, which has come to be considered an international model for sustainable development and stakeholder consensus negotiation. RFK Jr. was named Time Magazine’s “Hero for the Planet” for his efforts to restore the Hudson River, which along with other achievements has led to more than 300 WaterKeeper organizations taking root across the globe. As nephew of the United States' beloved 35th president, he has dutifully earned his own acclaim across decades of formative work.  - Links - For Robert F. Kennedy Jr. On X: https://x.com/robertkennedyjr On Youtube https://www.youtube.com/@TeamKennedy24 On Facebook https://www.facebook.com/rfkjr/ ",The Jordan B. Peterson Podcast,,The Great Partisan Shift | Robert F. Kennedy Jr. | EP 484 - YouTube,https://www.youtube.com/watch?v=bKniGfvOePc,94,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nik,Rosie,Owen Fick,Vivek Ramaswamy,T,Roasting The DNC With Vivek Ramaswamy,"On this episode of the Ruthless, Vivek Ramaswamy joins the show to roast the DNC, reflect on his presidential campaign, and much more! From Chuck Schumer's awkward dance moves to a national anthem mishap, the DNC provides ample content for the show. The DNC isn't all that's on the fellas' minds. This episode also provides a much-needed update on the state of the presidential race, where the candidates stand, and the issues facing both campaigns.   Check out this great new site from our sponsor Americans for Prosperity: securebordersecureamerica.com TAKE ACTION! Tell Congress to guard your card and visit GaurdYourCard.com. Take the next step to improving your health, go to Lumen.me/RUTHLESS to get 15% off your Lumen.",Ruthless Podcast,,Roasting The DNC With Vivek Ramaswamy - YouTube,https://www.youtube.com/watch?v=QYDRIqGay-U,92,,FALSE,FALSE,FALSE
Lena,Michael,Owen Fick,Vivek Ramaswamy,T,"OB #77 - Vivek Ramaswamy, Soros-Funded Big Pharma Globalist",Vivek returned for the umpteenth time to Russell's show and so the time has finally come to cover what the smooth-talking alt-right conspiracy peddler has to say for himself.Support On Brand on Patreon!,On Brand,,"OB #77 - Vivek Ramaswamy, Soros-Funded Big Pharma Globalist - YouTube",https://www.youtube.com/watch?v=f3lJ2YmASYs,140,,FALSE,FALSE,FALSE
Thomas Seeger,Rosie,Connor Swenson,Vivek Ramaswamy,T,Vivek Ramaswamy Has a Different Vision for Trumpism From JD Vance,"Vivek Ramaswamy burst onto the national scene last year as a wild card candidate for the Republican presidential nomination. Here was a relatively unknown biotech executive with no political experience, pitching himself as someone who could carry on Donald Trump’s movement. Trump ultimately won that primary contest handily, but Ramaswamy was a breakout star. There was even chatter that he might be Trump’s V.P. pick.Trump, of course, ended up choosing JD Vance — Ramaswamy’s friend and former classmate — who has a very different vision for the future of Trumpism. But Ramaswamy believes the future of the Trump movement is still up for grabs and is fighting hard for his camp to win out over the one that Vance represents, including in his new book, “Truths: The Future of America First.”In this conversation, we discuss the two competing visions that Ramaswamy sees as lurking beneath the surface of Trumpism, what he calls “national protectionist” and “national libertarian,” whether his vision is really so different from Paul Ryan-style conservativism, why he thinks these debates within the Republican Party are really deep down about identity and what it means to be an American.Book Recommendations:The Constitution of Liberty by Friedrich HayekThe Bhagavad GitaThe Road to Serfdom by Friedrich HayekThoughts? Guest suggestions? Email us at ezrakleinshow@nytimes.com.You can find transcripts (posted midday) and more episodes of “The Ezra Klein Show” at nytimes.com/ezra-klein-podcast. Book recommendations from all our guests are listed at https://www.nytimes.com/article/ezra-klein-show-book-recs.This episode of “The Ezra Klein Show” was produced by Elias Isquith. Fact-checking by Michelle Harris. Our senior engineer is Jeff Geld, with additional mixing by Aman Sahota. Our supervising editor is Claire Gordon. The show’s production team also includes Annie Galvin, Rollin Hu and Kristin Lin. Original music by Isaac Jones. Audience strategy by Kristina Samulewski and Shannon Busta. The executive producer of New York Times Opinion Audio is Annie-Rose Strasser.
Unlock full access to New York Times podcasts and explore everything from politics to pop culture. Subscribe today at nytimes.com/podcasts or on Apple Podcasts and Spotify.",The Ezra Klein Show,,Vivek Ramaswamy Has a Different Vision for Trumpism From JD Vance - YouTube,https://www.youtube.com/watch?v=uY6NGom3gvU,81,,FALSE,FALSE,FALSE
Nik,Michael,Connor Swenson,Vivek Ramaswamy,T,7-29-24 | Always Right Radio With Bob Frantz Welcomes Vivek Ramaswamy,"Former Presidential candidate Vivek Ramaswamy joins Bob.  In a great interview, they talk about the current race, and how the Republicans can win.  He talks about Kamala Harris. He also talks about his future and the possibility of being in the Senate and a possible run for Governor.See omnystudio.com/listener for privacy information.",Strictly Speaking with Bob Frantz,,,#REF!,,,FALSE,FALSE,FALSE
Lena,Malia,Connor Swenson,Vivek Ramaswamy,T,Reacting to Vivek Ramaswamy reacting to the Presidential Debate,"Vivek breaks down the meta game like nobody's business!
The game beneath the game beneath the words and the questions and the politics. Meta meta meta.
Full Vivek breakdown video: https://www.youtube.com/watch?v=ziaOUFVyASY&t=999s&ab_channel=VivekRamaswamy
Merchandise: https://teespring.com/stores/progressives-for-trump?page=1
#progressivesfortrump #liberalsfortrump #trump #maga #nomoresecrets #vivekramaswamy #vivek2028 #presidentialdebate",Progressives for Trump,,,#REF!,,,FALSE,FALSE,FALSE
Thomas Seeger,Rosie,Amber,,ERROR,,,,,,,,,FALSE,FALSE,FALSE
Nik,Michael,Amber,Vivek Ramaswamy,T,"Billionaire Vivek Ramaswamy on Investment Strategies, Don Lemon, Buzzfeed","Billionaire and former presidential candidate Vivek Ramaswamy returned to VladTV to discuss his new book, ""Truths: The Future of America First."" The entrepreneur discussed the concepts in the book, including religion, climate change, immigration, government, and the role of the nuclear family. Ramaswamy also talked about his investment Buzzfeed, his past interaction with Don Lemon, and even offered some investment strategies to viewers. To hear more, view the full interview above.",VladTV,,"Vivek Ramaswamy on How to Get Rich, Donald Trump, Kamala Harris, Don Lemon (Full Interview)",https://youtu.be/Q-I1dh_qbng?feature=shared,90,,FALSE,FALSE,FALSE
Lena,Malia,Owen Fick,Vivek Ramaswamy,T,How The GOP's New Generation Can Be EXCITING After Trump? | Vivek Ramaswamy,"Join ""Maintaining with Tyrus"" for this groundbreaking episode with former Presidential Candidate, Vivek Ramaswamy. Vivek & Tyrus brainstorm key strategies in an effort to propel excitement into the Republican Party, while uncovering the motivational cores that compel individuals like Vivek to enter the world of politics, despite its notorious challenges. Stick around to find out if Vivek will consider joining Trump's cabinet if the former president extends an invitation, as well as if he will take the bold step to run for the White House again in the future.
Learn more about your ad choices. Visit podcastchoices.com/adchoices",Maintaining with Tyrus,,How Will VIVEK RAMASWAMY Lead The Next Generation Of Republicans? | Maintaining with Tyrus,https://www.youtube.com/watch?v=E0qi8x5FRJU,17,,FALSE,FALSE,FALSE
